cnpj,pasta,download_individual,local_nfe,state_imported_nfe,gap_nfe,local_cte,state_imported_cte,gap_cte
12703573000160,0395_BR_BULK_LOGISTICA_E_TRANSPORTES_LTDA,SIM,0,31,0,0,259,0
51138394000180,0408_TRANSPORTES_MONALIZA_LTDA,NAO,0,0,0,0,0,0
09312934000133,0409_WEBTRAC_SOLUCOES_EM_RASTREAMENTO_LTDA,NAO,0,18,0,0,7,0
08512193000171,0411_FANTIPER_EMPREENDIMENTOS_E_PARTICIPACOES_LTDA,NAO,0,0,0,0,0,0
90378894000221,0416_TRANSPORTES_EMECE_LTDA,NAO,0,16,0,0,47,0
05035364000120,0430_LIVIERO_TRANSPORTES_E_SERVICOS_LTDA,SIM,0,23,0,0,440,0
06218182000158,0445_BT_LOGISTICA_INTEGRADA_LTDA,NAO,0,259,0,0,1475,0
13396845000190,0456_AFT_CARGO_TRANSPORTE_E_DISTRIB_LTDA,NAO,0,50,0,0,131,0
02484082000201,0457_TRANSPORTES_DALLAPRIA_LTDA,NAO,0,1,0,0,171,0
45656568000101,0046_ENGEMETAL_CONSTRUCOES_E_MONTAGENS_LTDA,SIM,0,92,0,0,19,0
18797437000163,0464_TRANSBRASIL_SISTEMA_DE_TRANSPORTES_LTDA,NAO,0,1,0,0,53,0
05451797000248,0474_GREEN_ROAD_SOLUCOES_LOGISTICAS_LTDA,NAO,0,0,0,0,0,0
19364250000139,0478_LAOLETA_AGENCIA_DE_VIAGENS_E_TURISMO_LTDA,NAO,0,0,0,0,0,0
60541240000630,0483_TECNOLOG_TRANSP.RODO-AEREO_E_LOGISTICA_LTDA,NAO,0,2,0,0,89,0
06900988000121,0486_TRANSCONSULT_TRANSPORTES_E_SERVICOS_LTDA,NAO,0,4,0,0,57,0
19163795000187,0495_TAP_TRANSPORTADORA_AUTOMOTIVA_PAULISTANA_LTDA,NAO,0,0,0,0,33,0
20506940000164,0502_SP_LOC_LOCACOES_LTDA,NAO,0,0,0,0,0,0
10798076000168,0506_FULL_TRIP_SERVICOS_ADMINISTRATIVOS_LTDA,NAO,0,0,0,0,0,0
21080365000143,0511_CITA_TRANSPORTES_LTDA,SIM,0,0,0,0,2967,0
00859963000145,0513_TRANSPORTADORA_ASTRA_LTDA,SIM,0,89,0,0,307,0
12441133000182,0522_MR_CUNHA_TRANSPORTES_LTDA,NAO,0,9,0,0,15,0
65969354000194,0524_BACCARELLI_GUINCHOS_E_SERVICOS_LTDA,NAO,0,0,0,0,0,0
